amk	að minnsta kosti
árg	árgangi
árg	árgangur
bls	blaðsíða
bls	blaðsíðu
bls	blaðsíður
cm²	fersentímetra
cm²	fersentímetrar
cm³	rúmsentímetra
cm³	rúmsentímetrar
cm	sentímetra
cm	sentímetrar
cm	sentímetrum
dkr	danskar krónur
dr	doktor
efnismgr	efnismálsgrein
efnismgr	efnismálsgreinar
etv	ef til vill
flm	flutningsmaður
flm	flutningsmann
flm	flutningsmanni
flm	flutningsmanns
flm	flutningsmenn
flm	flutningsmönnum
frh	framhald
frsm	framsögumaður
frsm	framsögumenn
frv	frumvarp
frv	frumvarpi
frv	frumvarpinu
frv	frumvarps
frv	frumvarpsins
fskj	fylgiskjal
fskj	fylgiskjali
fyrrv	fyrrverandi
gr	grein
gr	greinar
gw	gígavatt
gw	gígavatta
gw	gígavatti
gw	gígavött
gw	gígavöttum
gwst	gígavattstund
gwst	gígavattstunda
gwst	gígavattstundir
gwst	gígavattstundum
hæstv	hæstvirt
hæstv	hæstvirta
hæstv	hæstvirtan
hæstv	hæstvirti
hæstv	hæstvirtir
hæstv	hæstvirtra
hæstv	hæstvirtrar
hæstv	hæstvirtri
hæstv	hæstvirts
hæstv	hæstvirtu
hæstv	hæstvirtum
hæstv	hæstvirtur
hrl	hæstaréttarlögmaður
hrl	hæstaréttarlögmann
hrl	hæstaréttarlögmanni
hrl	hæstaréttarlögmanns
hv	háttvirt
hv	háttvirta
hv	háttvirtan
hv	háttvirti
hv	háttvirtir
hv	háttvirtra
hv	háttvirtrar
hv	háttvirtri
hv	háttvirts
hv	háttvirtu
hv	háttvirtum
hv	háttvirtur
ísl	íslenskar
ísl	íslenskum
kg	kílógramm
kg	kílógramma
kg	kílógrammi
kg	kílógrömm
kg	kílógrömmum
kl	klukkan
klst	klukkustund
klst	klukkustunda
klst	klukkustundir
klst	klukkustundum
km²	ferkílómetra
km²	ferkílómetrar
km	kílómetra
km	kílómetrar
km	kílómetri
km	kílómetrum
kr	króna
kr	krónu
kr	krónum
kr	krónur
kw	kílóvatt
kw	kílóvatta
kw	kílóvatti
kw	kílóvött
kw	kílóvöttum
kwst	kílóvattstund
kwst	kílóvattstunda
kwst	kílóvattstundir
kwst	kílóvattstundum
lokamálsgr	lokamálsgrein
lokamálsgr	lokamálsgreinar
m²	fermetra
m²	fermetrar
m³	rúmmetra
m³	rúmmetrar
ma	meðal annars
mas	meira að segja
málsgr	málsgrein
málsgr	málsgreinar
málsl	málslið
málsl	málsliður
mgr	málsgrein
mgr	málsgreinar
millj kr	milljón króna
millj kr	milljónar króna
millj kr	milljóna króna
millj kr	milljónir króna
millj kr	milljónum króna
mw	megavatt
mw	megavatta
mw	megavatti
mw	megavött
mw	megavöttum
mwst	megavattstund
mwst	megavattstunda
mwst	megavattstundir
mwst	megavattstundum
nk	næstkomandi
nkr	norskar krónur
norðaust	norðausturkjördæmi
Norðaust	Norðausturkjördæmi
norðaust	norðausturkjördæmis
Norðaust	Norðausturkjördæmis
norðvest	norðvesturkjördæmi
Norðvest	Norðvesturkjördæmi
norðvest	norðvesturkjördæmis
Norðvest	Norðvesturkjördæmis
nr	númer
núv	núverandi
ofl	og fleira
ofl	og fleiri
osfrv	og svo framvegis
oþh	og þess háttar
pr	per
reykv n	reykjavíkurkjördæmi norður
Reykv n	Reykjavíkurkjördæmi norður
reykv n	reykjavíkurkjördæmis norður
Reykv n	Reykjavíkurkjördæmis norður
reykv s	reykjavíkurkjördæmis suður
Reykv s	Reykjavíkurkjördæmis suður
reykv s	reykjavíkurkjördæmi suður
Reykv s	Reykjavíkurkjördæmi suður
rvík n	reykjavíkurkjördæmi norður
rvík n	reykjavíkurkjördæmis norður
rvík s	reykjavíkurkjördæmis suður
rvík s	reykjavíkurkjördæmi suður
sbr	samanber
skr	sænskar krónur
skv	samkvæmt
sl	síðastliðið
sl	síðastliðinn
sl	síðastliðnum
stk	stykki
stjfrv	stjórnarfrumvarp
stjtill	stjórnartillaga
stjtill	stjórnartillögu
suðurk	suðurkjördæmi
Suðurk	Suðurkjördæmi
suðurk	suðurkjördæmis
Suðurk	Suðurkjördæmis
suðvest	suðvesturkjördæmi
Suðvest	Suðvesturkjördæmi
suðvest	suðvesturkjördæmis
Suðvest	Suðvesturkjördæmis
sþ	sameinuðu þjóðanna
SÞ	Sameinuðu þjóðanna
sþ	sameinuðu þjóðirnar
SÞ	Sameinuðu þjóðirnar
sþ	sameinuðu þjóðunum
SÞ	Sameinuðu þjóðunum
tam	til að mynda
td	til dæmis
tbl	tölublað
tbl	tölublaðs
tölul	tölulið
tölul	töluliðar
tölul	töluliður
tw	teravatt
tw	teravatta
tw	teravatti
tw	teravött
tw	teravöttum
twh	teravattstund
twh	teravattstunda
twh	teravattstundir
twh	teravattstundum
twst	teravattstund
twst	teravattstunda
twst	teravattstundir
twst	teravattstundum
umr	umræða
umr	umræðu
uþb	um það bil
varaform	varaformaður
vlf	verg landsframleiðsla
vlf	verga landsframleiðslu
vlf	vergrar landsframleiðslu
vlf	vergri landsframleiðslu
wst	vattstund
wst	vattstunda
wst	vattstundir
wst	vattstundum
þáltill	þingsályktunartillaga
þáltill	þingsályktunartillögu
þáv	þáverandi
þe	það er
þe	það er að segja
þeas	það er að segja
þmt	þar með talið
þmt	þar með talin
þmt	þar með talinn
þm	þingmaður
þm	þingmann
þm	þingmanna
þm	þingmanni
þm	þingmanns
þm	þingmenn
þm	þingmönnum
þskj	þingskjal
þskj	þingskjali
þskj	þingskjölum
þús	þúsund
