amk	a.m.k.
árg	árg.
bls	bls.
dkr	d.kr.
Dr	Dr.
dr	dr.
etv	e.t.v.
Etv	E.t.v.
gr	gr.
gwst	gwst.
hv	hv.
Hv	Hv.
hæstv	hæstv.
Hæstv	Hæstv.
ísl kr	ísl. kr.
kl	kl.
klst	klst.
kr	kr.
kwst	kwst.
ma	m.a.
mas	m.a.s.
málsl	málsl.
mgr	mgr.
millj	millj.
mwst	mwst.
nk	nk.
nkr	n.kr.
norðaust	Norðaust.
norðvest	Norðvest.
nr	nr.
osfrv	o.s.frv.
reykv n	Reykv. n.
reykv s	Reykv. s.
sbr	sbr.
Sbr	Sbr.
skr	s.kr.
skv	skv.
Skv	Skv.
suðurk	Suðurk.
suðvest	Suðvest.
td	t.d.
Td	T.d.
tölul	tölul.
twst	twst.
uþb	u.þ.b.
Uþb	U.þ.b.
þe	þ.e.
þm	þm.
þmt	þ.m.t.
þskj	þskj.
þús	þús.
